Circulating Library,Title Proper (normalized)
Abington Community Library,American girl
Abington Community Library,Architectural digest.
Abington Community Library,Beanz.
Abington Community Library,Chickadee
Abington Community Library,Cook's country.
Abington Community Library,Cricket
Abington Community Library,Cure.
Abington Community Library,Esquire.
Abington Community Library,Fine gardening
Abington Community Library,Food network magazine
Abington Community Library,Fortune.
Abington Community Library,German life.
Abington Community Library,Good housekeeping
Abington Community Library,Harper's.
Abington Community Library,Highlights for children
Abington Community Library,InStyle
Abington Community Library,Incollect magazine
Abington Community Library,Librarysparks.
Abington Community Library,Local History Vertical File (Abington).
Abington Community Library,MaryJanesFarm
Abington Community Library,McCall's Quilting.
Abington Community Library,National geographic kids
Abington Community Library,Natural history.
Abington Community Library,New Yorker.
Abington Community Library,People
Abington Community Library,Philadelphia
Abington Community Library,Popular mechanics.
Abington Community Library,Popular photography & imaging.
Abington Community Library,Prevention
Abington Community Library,Quiltmaker
Abington Community Library,Reader's digest
Abington Community Library,Scout life
Abington Community Library,Sky and telescope.
Abington Community Library,Smithsonian.
Abington Community Library,Southern living
Abington Community Library,Sports illustrated for kids
Abington Community Library,The English garden.
Abington Community Library,The English home.
Abington Community Library,The horn book magazine
Abington Community Library,The mailbox : idea magazine for teachers
Abington Community Library,The mailbox.
Abington Community Library,consumer reports.
Albright Memorial Library,ADA.
Albright Memorial Library,AIA journal.
Albright Memorial Library,ALA Washington newsletter.
Albright Memorial Library,Aging
Albright Memorial Library,All men are jerks -- until proven otherwise : a woman's guide to understanding men
Albright Memorial Library,Allure.
Albright Memorial Library,American artist.
Albright Memorial Library,American education
Albright Memorial Library,American heritage.
Albright Memorial Library,American history.
Albright Memorial Library,American libraries
Albright Memorial Library,Amos auto enthusiast
Albright Memorial Library,Am©♭ricas.
Albright Memorial Library,Animal wellness magazine.
Albright Memorial Library,Anna Karenina
Albright Memorial Library,Annual report of the Federal Home Loan Bank Board for the calendar year.
Albright Memorial Library,Antarctic journal of the United States
Albright Memorial Library,Archaeology : a publication of the Archaeological Institute of America
Albright Memorial Library,Architectural digest.
Albright Memorial Library,Area trends in employment and unemployment
Albright Memorial Library,Armor.
Albright Memorial Library,Army history : the professional bulletin of Army history
Albright Memorial Library,Art & antiques.
Albright Memorial Library,Astronomy.
Albright Memorial Library,Aviation week & space technology.
Albright Memorial Library,B to B
Albright Memorial Library,BBC history magazine.
Albright Memorial Library,Barron's.
Albright Memorial Library,Better homes and gardens
Albright Memorial Library,Bicycling
Albright Memorial Library,Biography Vertical File.
Albright Memorial Library,Birds & blooms
Albright Memorial Library,Bloomberg Businessweek.
Albright Memorial Library,Boat Pennsylvania.
